step,value,wall_time,file
0,13.367023468017578,1775213888.426105,events.out.tfevents.1775213345.LAPTOP-GRIC803N
1,10.304754257202148,1775214426.348948,events.out.tfevents.1775213345.LAPTOP-GRIC803N
2,9.460855484008789,1775214959.1256704,events.out.tfevents.1775213345.LAPTOP-GRIC803N
3,8.658456802368164,1775215498.903193,events.out.tfevents.1775213345.LAPTOP-GRIC803N
4,8.063539505004883,1775216028.0175943,events.out.tfevents.1775213345.LAPTOP-GRIC803N
5,7.894960880279541,1775216567.9819136,events.out.tfevents.1775213345.LAPTOP-GRIC803N
6,7.442511558532715,1775217103.1478915,events.out.tfevents.1775213345.LAPTOP-GRIC803N
7,7.206277370452881,1775217638.370108,events.out.tfevents.1775213345.LAPTOP-GRIC803N
8,6.867300987243652,1775218169.5585809,events.out.tfevents.1775213345.LAPTOP-GRIC803N
9,6.802281379699707,1775218700.5473611,events.out.tfevents.1775213345.LAPTOP-GRIC803N
10,6.667433738708496,1775219226.028812,events.out.tfevents.1775213345.LAPTOP-GRIC803N
11,6.454550743103027,1775219756.726314,events.out.tfevents.1775213345.LAPTOP-GRIC803N
12,6.420820236206055,1775220283.9265456,events.out.tfevents.1775213345.LAPTOP-GRIC803N
13,6.300648212432861,1775220815.0355594,events.out.tfevents.1775213345.LAPTOP-GRIC803N
14,6.216945171356201,1775221348.455485,events.out.tfevents.1775213345.LAPTOP-GRIC803N
15,6.114613056182861,1775221874.7149553,events.out.tfevents.1775213345.LAPTOP-GRIC803N
16,6.1412811279296875,1775222408.444778,events.out.tfevents.1775213345.LAPTOP-GRIC803N
17,6.004859447479248,1775222980.0502539,events.out.tfevents.1775213345.LAPTOP-GRIC803N
18,6.021582126617432,1775223696.9546304,events.out.tfevents.1775213345.LAPTOP-GRIC803N
19,5.930089950561523,1775224390.8496463,events.out.tfevents.1775213345.LAPTOP-GRIC803N
20,5.953808784484863,1775225060.402964,events.out.tfevents.1775213345.LAPTOP-GRIC803N
21,5.852687358856201,1775225746.3565,events.out.tfevents.1775213345.LAPTOP-GRIC803N
22,5.8147149085998535,1775226422.43527,events.out.tfevents.1775213345.LAPTOP-GRIC803N
23,5.79415225982666,1775226973.125114,events.out.tfevents.1775213345.LAPTOP-GRIC803N
24,5.760879039764404,1775227643.6193073,events.out.tfevents.1775213345.LAPTOP-GRIC803N
25,5.804300785064697,1775228269.9488945,events.out.tfevents.1775213345.LAPTOP-GRIC803N
26,5.741957187652588,1775228803.220774,events.out.tfevents.1775213345.LAPTOP-GRIC803N
