step,value,wall_time,file
0,10.42313289642334,1776049667.2122524,events.out.tfevents.1776049197.LAPTOP-GRIC803N
1,10.321039199829102,1776050112.5268974,events.out.tfevents.1776049197.LAPTOP-GRIC803N
2,10.257187843322754,1776050541.5927958,events.out.tfevents.1776049197.LAPTOP-GRIC803N
3,10.25082778930664,1776050976.583383,events.out.tfevents.1776049197.LAPTOP-GRIC803N
4,10.21692180633545,1776051410.9525056,events.out.tfevents.1776049197.LAPTOP-GRIC803N
5,10.194602012634277,1776051847.7942145,events.out.tfevents.1776049197.LAPTOP-GRIC803N
6,10.231624603271484,1776052284.8258054,events.out.tfevents.1776049197.LAPTOP-GRIC803N
7,10.185781478881836,1776052722.0488164,events.out.tfevents.1776049197.LAPTOP-GRIC803N
8,10.168844223022461,1776053180.3981795,events.out.tfevents.1776049197.LAPTOP-GRIC803N
9,10.16711711883545,1776053615.8808115,events.out.tfevents.1776049197.LAPTOP-GRIC803N
10,10.15540599822998,1776054050.257674,events.out.tfevents.1776049197.LAPTOP-GRIC803N
11,10.111570358276367,1776054483.7877522,events.out.tfevents.1776049197.LAPTOP-GRIC803N
12,10.145086288452148,1776054917.5469506,events.out.tfevents.1776049197.LAPTOP-GRIC803N
13,10.143187522888184,1776055357.7025757,events.out.tfevents.1776049197.LAPTOP-GRIC803N
14,10.110586166381836,1776055791.4974403,events.out.tfevents.1776049197.LAPTOP-GRIC803N
15,10.098640441894531,1776056229.2546763,events.out.tfevents.1776049197.LAPTOP-GRIC803N
16,10.080390930175781,1776056667.0310438,events.out.tfevents.1776049197.LAPTOP-GRIC803N
17,10.075226783752441,1776057100.020127,events.out.tfevents.1776049197.LAPTOP-GRIC803N
18,10.092460632324219,1776057534.6044612,events.out.tfevents.1776049197.LAPTOP-GRIC803N
19,10.073141098022461,1776057966.765194,events.out.tfevents.1776049197.LAPTOP-GRIC803N
20,10.071695327758789,1776058401.9041653,events.out.tfevents.1776049197.LAPTOP-GRIC803N
21,10.061141014099121,1776058832.2752292,events.out.tfevents.1776049197.LAPTOP-GRIC803N
22,10.041773796081543,1776059267.6826231,events.out.tfevents.1776049197.LAPTOP-GRIC803N
23,10.05846881866455,1776059701.0402403,events.out.tfevents.1776049197.LAPTOP-GRIC803N
24,10.04127311706543,1776060134.010626,events.out.tfevents.1776049197.LAPTOP-GRIC803N
25,10.031710624694824,1776060566.7021823,events.out.tfevents.1776049197.LAPTOP-GRIC803N
26,10.022289276123047,1776060995.408604,events.out.tfevents.1776049197.LAPTOP-GRIC803N
27,10.03109359741211,1776061426.48622,events.out.tfevents.1776049197.LAPTOP-GRIC803N
28,10.000101089477539,1776061857.227504,events.out.tfevents.1776049197.LAPTOP-GRIC803N
29,10.01745319366455,1776062289.4982123,events.out.tfevents.1776049197.LAPTOP-GRIC803N
30,10.014148712158203,1776062719.2737224,events.out.tfevents.1776049197.LAPTOP-GRIC803N
31,9.999038696289062,1776063154.108158,events.out.tfevents.1776049197.LAPTOP-GRIC803N
32,9.996492385864258,1776063585.7249455,events.out.tfevents.1776049197.LAPTOP-GRIC803N
33,10.007601737976074,1776064019.9489827,events.out.tfevents.1776049197.LAPTOP-GRIC803N
34,9.99301528930664,1776064450.7909198,events.out.tfevents.1776049197.LAPTOP-GRIC803N
35,9.965179443359375,1776064879.0479217,events.out.tfevents.1776049197.LAPTOP-GRIC803N
36,9.990452766418457,1776065308.7969294,events.out.tfevents.1776049197.LAPTOP-GRIC803N
37,9.960929870605469,1776065737.9794035,events.out.tfevents.1776049197.LAPTOP-GRIC803N
38,9.959757804870605,1776066167.342628,events.out.tfevents.1776049197.LAPTOP-GRIC803N
39,9.96789836883545,1776066595.2213335,events.out.tfevents.1776049197.LAPTOP-GRIC803N
40,9.961742401123047,1776067023.756365,events.out.tfevents.1776049197.LAPTOP-GRIC803N
41,9.974305152893066,1776067457.6386697,events.out.tfevents.1776049197.LAPTOP-GRIC803N
42,9.936437606811523,1776067896.9023185,events.out.tfevents.1776049197.LAPTOP-GRIC803N
43,9.9419527053833,1776068326.48057,events.out.tfevents.1776049197.LAPTOP-GRIC803N
44,9.961585998535156,1776068788.0152571,events.out.tfevents.1776049197.LAPTOP-GRIC803N
45,9.932257652282715,1776069306.2754607,events.out.tfevents.1776049197.LAPTOP-GRIC803N
46,9.949898719787598,1776069832.710083,events.out.tfevents.1776049197.LAPTOP-GRIC803N
47,9.925093650817871,1776070358.110255,events.out.tfevents.1776049197.LAPTOP-GRIC803N
48,9.915234565734863,1776070866.359117,events.out.tfevents.1776049197.LAPTOP-GRIC803N
49,9.923171997070312,1776071303.799893,events.out.tfevents.1776049197.LAPTOP-GRIC803N
50,9.934788703918457,1776071736.952622,events.out.tfevents.1776049197.LAPTOP-GRIC803N
51,9.934351921081543,1776072167.55158,events.out.tfevents.1776049197.LAPTOP-GRIC803N
52,9.91491413116455,1776072598.1705558,events.out.tfevents.1776049197.LAPTOP-GRIC803N
53,9.891023635864258,1776073032.8306072,events.out.tfevents.1776049197.LAPTOP-GRIC803N
54,9.920000076293945,1776073467.6419446,events.out.tfevents.1776049197.LAPTOP-GRIC803N
