step,value,wall_time,file
0,16.977039337158203,1775106445.4916725,events.out.tfevents.1775105998.LAPTOP-GRIC803N
1,16.457508087158203,1775106887.1886013,events.out.tfevents.1775105998.LAPTOP-GRIC803N
2,16.221467971801758,1775107322.099573,events.out.tfevents.1775105998.LAPTOP-GRIC803N
3,16.006742477416992,1775107756.7213254,events.out.tfevents.1775105998.LAPTOP-GRIC803N
4,15.734726905822754,1775108187.278079,events.out.tfevents.1775105998.LAPTOP-GRIC803N
5,15.436905860900879,1775108620.52103,events.out.tfevents.1775105998.LAPTOP-GRIC803N
6,15.027750015258789,1775109052.7827275,events.out.tfevents.1775105998.LAPTOP-GRIC803N
7,14.578812599182129,1775109487.120226,events.out.tfevents.1775105998.LAPTOP-GRIC803N
8,14.152015686035156,1775109918.5599868,events.out.tfevents.1775105998.LAPTOP-GRIC803N
9,13.756772994995117,1775110347.8063023,events.out.tfevents.1775105998.LAPTOP-GRIC803N
10,13.569039344787598,1775110778.2648218,events.out.tfevents.1775105998.LAPTOP-GRIC803N
11,13.36926555633545,1775111208.0035164,events.out.tfevents.1775105998.LAPTOP-GRIC803N
12,13.06638240814209,1775111639.8488872,events.out.tfevents.1775105998.LAPTOP-GRIC803N
13,12.823460578918457,1775112071.6741054,events.out.tfevents.1775105998.LAPTOP-GRIC803N
14,12.740249633789062,1775112502.4660902,events.out.tfevents.1775105998.LAPTOP-GRIC803N
15,12.678999900817871,1775112932.0878825,events.out.tfevents.1775105998.LAPTOP-GRIC803N
16,12.532953262329102,1775113362.478847,events.out.tfevents.1775105998.LAPTOP-GRIC803N
17,12.291000366210938,1775113793.6891208,events.out.tfevents.1775105998.LAPTOP-GRIC803N
18,12.234726905822754,1775114223.9583063,events.out.tfevents.1775105998.LAPTOP-GRIC803N
19,12.198601722717285,1775114655.6380427,events.out.tfevents.1775105998.LAPTOP-GRIC803N
20,12.080820083618164,1775115085.367975,events.out.tfevents.1775105998.LAPTOP-GRIC803N
21,11.805593490600586,1775115515.3054843,events.out.tfevents.1775105998.LAPTOP-GRIC803N
22,11.733171463012695,1775115945.2659807,events.out.tfevents.1775105998.LAPTOP-GRIC803N
23,11.6782808303833,1775116374.8439195,events.out.tfevents.1775105998.LAPTOP-GRIC803N
24,11.557984352111816,1775116804.4123127,events.out.tfevents.1775105998.LAPTOP-GRIC803N
25,11.279086112976074,1775117233.71498,events.out.tfevents.1775105998.LAPTOP-GRIC803N
26,11.16392993927002,1775117663.1218219,events.out.tfevents.1775105998.LAPTOP-GRIC803N
27,11.08774185180664,1775118092.6558309,events.out.tfevents.1775105998.LAPTOP-GRIC803N
28,10.939421653747559,1775118523.1317801,events.out.tfevents.1775105998.LAPTOP-GRIC803N
29,10.762195587158203,1775118951.8208292,events.out.tfevents.1775105998.LAPTOP-GRIC803N
30,10.578991889953613,1775119380.4869897,events.out.tfevents.1775105998.LAPTOP-GRIC803N
31,10.51549243927002,1775119809.166959,events.out.tfevents.1775105998.LAPTOP-GRIC803N
32,10.451086044311523,1775120239.92353,events.out.tfevents.1775105998.LAPTOP-GRIC803N
33,10.234023094177246,1775120668.1999614,events.out.tfevents.1775105998.LAPTOP-GRIC803N
34,10.143133163452148,1775121097.1539698,events.out.tfevents.1775105998.LAPTOP-GRIC803N
35,10.093226432800293,1775121525.7237096,events.out.tfevents.1775105998.LAPTOP-GRIC803N
36,10.079750061035156,1775121955.9428742,events.out.tfevents.1775105998.LAPTOP-GRIC803N
37,9.988773345947266,1775122384.9152112,events.out.tfevents.1775105998.LAPTOP-GRIC803N
38,9.867992401123047,1775122814.6010962,events.out.tfevents.1775105998.LAPTOP-GRIC803N
39,9.831953048706055,1775123242.3899498,events.out.tfevents.1775105998.LAPTOP-GRIC803N
40,9.827070236206055,1775123676.709753,events.out.tfevents.1775105998.LAPTOP-GRIC803N
41,9.80774211883545,1775124104.9335275,events.out.tfevents.1775105998.LAPTOP-GRIC803N
42,9.697328567504883,1775124532.8827922,events.out.tfevents.1775105998.LAPTOP-GRIC803N
43,9.688140869140625,1775124961.045494,events.out.tfevents.1775105998.LAPTOP-GRIC803N
44,9.703367233276367,1775125392.008868,events.out.tfevents.1775105998.LAPTOP-GRIC803N
45,9.651741981506348,1775125822.7559516,events.out.tfevents.1775105998.LAPTOP-GRIC803N
46,9.624593734741211,1775126255.686976,events.out.tfevents.1775105998.LAPTOP-GRIC803N
47,9.588093757629395,1775126686.1166093,events.out.tfevents.1775105998.LAPTOP-GRIC803N
48,9.588375091552734,1775127114.918651,events.out.tfevents.1775105998.LAPTOP-GRIC803N
49,9.581257820129395,1775127543.3778613,events.out.tfevents.1775105998.LAPTOP-GRIC803N
50,9.565882682800293,1775127971.2136054,events.out.tfevents.1775105998.LAPTOP-GRIC803N
51,9.525664329528809,1775128400.6338828,events.out.tfevents.1775105998.LAPTOP-GRIC803N
52,9.540054321289062,1775128828.9396324,events.out.tfevents.1775105998.LAPTOP-GRIC803N
53,9.529804229736328,1775129260.0216784,events.out.tfevents.1775105998.LAPTOP-GRIC803N
54,9.507187843322754,1775129694.2681496,events.out.tfevents.1775105998.LAPTOP-GRIC803N
55,9.478398323059082,1775130122.5569184,events.out.tfevents.1775105998.LAPTOP-GRIC803N
56,9.488547325134277,1775130554.1304755,events.out.tfevents.1775105998.LAPTOP-GRIC803N
57,9.505046844482422,1775130987.0947137,events.out.tfevents.1775105998.LAPTOP-GRIC803N
58,9.479555130004883,1775131417.7563028,events.out.tfevents.1775105998.LAPTOP-GRIC803N
59,9.46147632598877,1775131848.1506846,events.out.tfevents.1775105998.LAPTOP-GRIC803N
60,9.458757400512695,1775132277.5091708,events.out.tfevents.1775105998.LAPTOP-GRIC803N
61,9.46024227142334,1775132705.9762254,events.out.tfevents.1775105998.LAPTOP-GRIC803N
62,9.464055061340332,1775133135.7733238,events.out.tfevents.1775105998.LAPTOP-GRIC803N
63,9.458648681640625,1775133565.8426366,events.out.tfevents.1775105998.LAPTOP-GRIC803N
64,9.446352005004883,1775133995.066453,events.out.tfevents.1775105998.LAPTOP-GRIC803N
65,9.425125122070312,1775134423.198088,events.out.tfevents.1775105998.LAPTOP-GRIC803N
66,9.435765266418457,1775134854.9832056,events.out.tfevents.1775105998.LAPTOP-GRIC803N
67,9.40904712677002,1775135285.637536,events.out.tfevents.1775105998.LAPTOP-GRIC803N
68,9.435461044311523,1775135717.1133504,events.out.tfevents.1775105998.LAPTOP-GRIC803N
69,9.42397689819336,1775136146.0370371,events.out.tfevents.1775105998.LAPTOP-GRIC803N
70,9.413991928100586,1775136577.6169436,events.out.tfevents.1775105998.LAPTOP-GRIC803N
71,9.411578178405762,1775137008.592001,events.out.tfevents.1775105998.LAPTOP-GRIC803N
